M4L 3Z6,(36.39021666666667,-66.08951666666667)
H9S 4L6,(34.071650000000005,-55.370675000000006)
M9N 2S9,(21.85225,-39.7521)
T2T 2V8,(25.50385,-57.0465)
T2Z 4C9,(42.462133333333334,-95.00016666666666)
M1V 4A1,(40.885133333333336,-74.00201333333332)
M5T 2S3,(34.92106,-63.52470000000001)
M8V 1A1,(36.35531666666666,-66.23233333333333)
H2J 2L8,(22.7631,-36.7942)
H9P 1H2,(22.732,-36.8636)
L4G 7H8,(21.99305,-39.7326)
T2E 3P4,(34.056999999999995,-76.03433333333334)
L1N 9E9,(21.93895,-39.45135)
J4Z 0E3,(30.305233333333334,-48.94616666666667)
L5T 2H7,(21.821,-39.83695)
H7V 2T9,(30.359133333333336,-49.16433333333333)
T2Y 4S6,(46.278018181818176,-103.73745454545455)
L6T 5B7,(21.8816,-39.82945)
M8X 1B8,(34.9182,-63.606700000000004)
""15222"",(40.389443895747554,-79.88532345679019)
L3P 2Y2,(29.252466666666667,-52.8285)
T2G 0W6,(38.280474999999996,-85.527)
M5R 2T8,(32.7524,-59.553775)
L1V 1W3,(32.877700000000004,-59.318775)
J4Z 3T9,(22.7278,-36.72105)
M5A 4L5,(29.101466666666667,-52.9112)
H1Y 2G9,(22.7754,-36.7874)
T2S 0C6,(25.5184,-57.036)
J0H 1S0,(22.7983,-36.54375)
L1W 2A3,(21.9159,-39.53375)
M1L 0H2,(29.149033333333335,-52.8599)
H1L 2N1,(22.80125,-36.7597)
M5B 0B4,(21.8275,-39.6879)
T2E 6R9,(38.3151,-85.53999999999999)
L5N 8C4,(21.7992,-39.8686)
M9V 1A6,(32.80205,-59.672625)
M9B 1B3,(29.0907,-53.0271)
L6C 0H9,(21.9573,-39.69195)
L4E 0K6,(32.935674999999996,-59.586949999999995)
H7P 4W6,(22.77875,-36.8833)
L3R 6A8,(21.91845,-39.6658)
L9N 0A2,(38.56508749999999,-69.548675)
T3R 0H5,(25.5886,-57.072)
H1T 3M7,(22.7438,-36.7842)
M4A 1X1,(38.25685,-69.39032499999999)
L3P 1W5,(39.883154545454545,-72.07094545454545)
M5V 2L2,(21.82285,-39.6988)
L5A 4C7,(37.34987142857143,-68.23555714285715)
H2T 1R5,(42.019807692307694,-67.9287923076923)
L3S 1R7,(21.91525,-39.64)
M4G 3A6,(21.85085,-39.6868)
L7B 1A5,(21.94765,-39.7787)
M1B 2C5,(21.89915,-39.61945)
""53527"",(41.916024324324326,-86.79489189189188)
M1P 2H6,(29.175366666666665,-52.86096666666666)
